item_name,category,shelf_life_days,unit_price,stock_qty,sales_qty,returned_qty,discount_applied,day_of_week,month,holiday_flag,temperature,rainfall,wasted_food
Yogurt,Dairy,11,147.01,117,97,2,15,Friday,8,1,24,1,22
Bread,Bakery,8,106.03,143,55,4,10,Monday,1,1,36,1,92
Tomato,Vegetables,15,30.42,88,33,2,15,Wednesday,1,1,8,0,57
Onion,Vegetables,3,83.41,250,195,17,10,Sunday,10,0,13,0,72
Orange,Fruits,14,197.49,207,193,4,5,Friday,9,1,37,0,18
Bread,Bakery,4,145.58,262,233,4,20,Friday,3,1,25,0,33
Orange,Fruits,11,73.91,280,272,15,20,Wednesday,8,0,28,1,23
Cake,Bakery,11,68.46,33,30,2,20,Friday,4,0,35,0,5
Banana,Fruits,15,139.34,36,36,0,5,Monday,8,1,31,0,0
Banana,Fruits,8,105.35,261,31,1,20,Tuesday,9,1,35,1,231
Potato,Vegetables,9,183.3,195,139,5,10,Friday,8,0,20,1,61
Potato,Vegetables,6,156.52,126,88,7,10,Thursday,6,1,23,0,45
Mango,Fruits,15,75.58,94,37,0,10,Saturday,2,1,33,1,57
Banana,Fruits,5,167.31,158,143,11,10,Tuesday,2,0,20,0,26
Cheese,Dairy,2,29.04,189,183,15,0,Saturday,3,0,40,0,21
Mango,Fruits,9,133.6,167,82,4,0,Sunday,2,0,39,0,89
Butter,Dairy,15,43.4,38,25,1,5,Saturday,5,0,5,1,14
Muffin,Bakery,6,96.33,298,268,15,5,Sunday,9,1,22,0,45
Muffin,Bakery,4,148.91,151,47,0,10,Sunday,5,0,16,1,104
Orange,Fruits,3,86.16,68,23,0,15,Wednesday,4,0,21,1,45
Butter,Dairy,14,60.73,188,77,0,10,Saturday,6,0,8,0,111
Orange,Fruits,4,87.03,277,159,3,10,Wednesday,10,0,19,0,121
Banana,Fruits,9,152.07,211,106,8,15,Sunday,9,0,20,0,113
Orange,Fruits,3,184.28,77,7,0,20,Friday,3,0,25,1,70
Croissant,Bakery,13,120.8,66,65,3,0,Thursday,3,1,34,0,4
Orange,Fruits,13,14.14,150,0,0,20,Monday,1,1,27,0,150
Bread,Bakery,9,16.03,229,46,1,15,Wednesday,7,1,29,1,184
Croissant,Bakery,12,173.45,80,22,2,15,Friday,3,0,5,0,60
Carrot,Vegetables,12,146.63,237,136,6,5,Tuesday,8,1,14,1,107
Milk,Dairy,2,163.8,234,157,0,5,Tuesday,2,0,7,1,77
Croissant,Bakery,13,18.4,244,59,4,5,Sunday,1,0,37,1,189
Yogurt,Dairy,11,123.6,184,60,2,5,Saturday,9,0,31,1,126
Tomato,Vegetables,10,190.22,109,80,6,20,Thursday,1,1,29,1,35
Mango,Fruits,4,66.98,114,96,8,15,Tuesday,4,1,14,1,26
Cake,Bakery,8,115.88,88,49,1,10,Tuesday,6,0,33,1,40
Croissant,Bakery,2,61.01,40,4,0,20,Saturday,11,0,35,0,36
Onion,Vegetables,2,50.24,117,94,1,15,Tuesday,12,0,30,0,24
Onion,Vegetables,8,98.59,203,78,4,10,Friday,8,1,11,1,129
Potato,Vegetables,7,69.46,43,36,1,5,Monday,5,1,23,0,8
Yogurt,Dairy,5,82.17,145,127,8,10,Wednesday,8,1,34,0,26
Potato,Vegetables,4,146.86,270,94,8,0,Friday,1,0,8,0,184
Banana,Fruits,15,129.83,54,45,1,0,Tuesday,9,1,28,0,10
Mango,Fruits,2,11.26,230,3,0,20,Saturday,5,1,6,1,227
Milk,Dairy,3,109.63,143,49,4,20,Wednesday,6,1,30,0,98
Carrot,Vegetables,9,117.35,135,76,1,0,Monday,7,1,29,1,60
Bread,Bakery,13,42.56,275,222,20,10,Friday,2,0,19,0,73
Orange,Fruits,2,185.59,163,139,9,0,Tuesday,6,0,18,0,33
Apple,Fruits,6,40.87,143,99,8,10,Thursday,12,0,10,1,52
Bread,Bakery,8,54.11,58,21,2,20,Friday,7,1,6,1,39
Mango,Fruits,5,77.6,212,110,2,20,Saturday,7,0,23,0,104
Bread,Bakery,6,39.3,98,94,6,10,Wednesday,2,0,5,1,10
Orange,Fruits,14,61.26,87,11,0,15,Thursday,9,1,11,0,76
Muffin,Bakery,10,27.68,186,98,0,10,Thursday,7,0,40,0,88
Butter,Dairy,4,36.38,174,68,3,5,Monday,3,1,22,1,109
Carrot,Vegetables,14,24.62,148,63,5,15,Friday,10,0,34,0,90
Yogurt,Dairy,2,190.28,190,158,12,10,Thursday,6,1,13,1,44
Potato,Vegetables,9,69.69,223,81,4,15,Friday,4,1,29,1,146
Orange,Fruits,3,187.09,122,75,2,20,Monday,12,1,18,1,49
Tomato,Vegetables,15,171.08,229,172,15,5,Saturday,5,0,21,0,72
Mango,Fruits,3,95.32,265,205,17,20,Sunday,12,1,39,0,77
Tomato,Vegetables,3,156.1,201,42,4,0,Friday,11,1,26,1,163
Bread,Bakery,3,59.16,281,265,17,20,Saturday,10,0,33,1,33
Mango,Fruits,14,139.12,276,77,5,0,Thursday,2,1,31,0,204
Croissant,Bakery,7,69.26,253,200,6,20,Thursday,6,1,11,1,59
Orange,Fruits,3,67.05,78,2,0,0,Saturday,3,0,38,0,76
Yogurt,Dairy,10,91.01,256,118,6,5,Tuesday,11,1,30,0,144
Butter,Dairy,11,91.62,22,22,0,5,Wednesday,12,0,11,0,0
Onion,Vegetables,5,96.93,154,125,8,10,Friday,7,1,12,1,37
Carrot,Vegetables,11,42.78,172,157,2,5,Wednesday,2,0,24,0,17
Yogurt,Dairy,13,36.86,218,107,9,5,Friday,7,1,16,1,120
Cheese,Dairy,9,64.88,115,40,3,20,Monday,6,0,36,0,78
Butter,Dairy,10,106.03,273,209,15,15,Saturday,8,1,15,0,79
Croissant,Bakery,6,16.21,135,73,2,15,Friday,12,1,40,0,64
Muffin,Bakery,14,113.19,207,138,13,0,Sunday,12,1,39,0,82
Apple,Fruits,13,167.71,146,76,0,15,Wednesday,6,0,33,0,70
Cheese,Dairy,14,150.15,199,181,13,5,Friday,3,0,18,0,31
Onion,Vegetables,11,112.37,185,180,9,10,Friday,5,0,13,1,14
Muffin,Bakery,15,134.62,87,31,1,10,Sunday,4,1,36,0,57
Carrot,Vegetables,8,95.88,67,51,4,10,Saturday,6,1,36,1,20
Bread,Bakery,13,194.71,203,16,1,5,Thursday,4,1,22,1,188
Onion,Vegetables,10,119.81,268,175,1,0,Monday,11,1,6,0,94
Butter,Dairy,9,10.13,239,51,5,5,Saturday,5,0,22,0,193
Onion,Vegetables,3,80.65,104,6,0,10,Saturday,12,0,32,0,98
Bread,Bakery,5,100.59,87,75,3,20,Saturday,8,0,5,1,15
Cake,Bakery,13,35.11,56,14,1,0,Saturday,2,0,25,1,43
Potato,Vegetables,8,156.96,88,82,2,0,Friday,10,0,15,1,8
Potato,Vegetables,12,152.17,230,157,14,5,Monday,2,0,12,1,87
Carrot,Vegetables,7,160.3,146,70,1,5,Friday,10,1,6,1,77
Cheese,Dairy,13,84.43,47,15,1,15,Monday,4,1,9,0,33
Onion,Vegetables,4,83.5,235,93,8,5,Sunday,8,0,6,0,150
Muffin,Bakery,5,17.57,50,50,3,20,Wednesday,11,1,32,1,3
Croissant,Bakery,6,25.88,60,32,1,5,Friday,6,1,9,1,29
Banana,Fruits,2,56.45,242,29,1,20,Friday,1,1,16,0,214
Croissant,Bakery,13,12.16,274,177,16,20,Sunday,12,1,15,1,113
Yogurt,Dairy,13,178.42,35,21,1,10,Friday,2,1,9,1,15
Orange,Fruits,2,104.93,105,47,1,10,Sunday,2,0,19,0,59
Bread,Bakery,5,18.74,206,98,2,5,Sunday,1,1,19,1,110
Butter,Dairy,13,70.79,59,36,2,0,Friday,11,0,16,0,25
Cake,Bakery,3,176.63,164,79,5,0,Friday,8,0,28,0,90
Onion,Vegetables,13,128.32,257,188,18,15,Sunday,4,0,14,0,87
Apple,Fruits,5,112.89,24,10,0,15,Sunday,12,1,11,0,14
Butter,Dairy,9,192.63,92,91,4,0,Monday,4,1,28,1,5
Bread,Bakery,10,35.37,221,19,0,15,Saturday,3,0,23,1,202
Carrot,Vegetables,13,168.06,187,81,7,10,Tuesday,2,0,13,0,113
Milk,Dairy,4,95.42,180,104,1,20,Wednesday,4,1,24,1,77
Tomato,Vegetables,3,39.95,175,154,1,5,Sunday,6,0,10,0,22
Carrot,Vegetables,10,19.3,173,66,6,5,Monday,7,1,40,0,113
Cake,Bakery,3,162.74,91,15,0,0,Sunday,4,0,17,1,76
Tomato,Vegetables,11,121.36,58,1,0,5,Saturday,8,0,10,1,57
Bread,Bakery,9,19.62,241,210,12,15,Monday,7,1,16,1,43
Cheese,Dairy,6,63.17,96,4,0,10,Thursday,7,1,8,0,92
Carrot,Vegetables,4,89.65,289,127,10,20,Sunday,1,1,27,1,172
Orange,Fruits,11,105.45,218,69,1,0,Wednesday,10,0,6,1,150
Cake,Bakery,10,77.91,139,40,0,5,Saturday,4,1,39,0,99
Butter,Dairy,7,187.69,108,22,0,20,Wednesday,12,1,6,1,86
Cheese,Dairy,15,197.72,272,158,5,15,Monday,2,0,19,0,119
Cake,Bakery,2,73.03,123,103,2,10,Saturday,3,1,8,0,22
Cheese,Dairy,14,31.07,289,186,2,10,Saturday,11,1,11,1,105
Onion,Vegetables,4,195.41,243,202,20,15,Saturday,6,0,40,1,61
Cheese,Dairy,8,68.3,170,32,1,0,Saturday,10,1,7,0,139
Potato,Vegetables,12,117.45,274,72,5,0,Tuesday,6,1,15,0,207
Carrot,Vegetables,2,60.39,147,17,1,10,Sunday,2,0,8,1,131
Mango,Fruits,4,178.06,272,193,11,20,Thursday,2,1,19,0,90
Apple,Fruits,14,170.69,170,5,0,10,Monday,2,1,15,1,165
Milk,Dairy,10,188.95,67,43,4,20,Thursday,12,0,32,0,28
Banana,Fruits,2,29.24,125,124,3,15,Saturday,9,1,23,1,4
Milk,Dairy,2,84.65,271,78,0,10,Monday,7,0,23,1,193
Milk,Dairy,2,49.32,169,20,1,0,Wednesday,7,1,36,1,150
Cake,Bakery,4,80.49,215,94,2,15,Monday,5,1,34,1,123
Yogurt,Dairy,11,21.71,69,10,1,20,Thursday,10,0,40,0,60
Mango,Fruits,10,140.54,263,120,7,10,Monday,7,0,37,0,150
Cake,Bakery,4,190.32,105,27,0,5,Monday,7,0,32,0,78
Yogurt,Dairy,7,183.05,54,5,0,20,Thursday,9,1,22,1,49
Cake,Bakery,3,88.74,95,72,1,0,Friday,2,1,39,1,24
Orange,Fruits,8,134.41,262,19,0,10,Thursday,3,1,7,1,243
Potato,Vegetables,2,151.69,157,95,0,10,Sunday,5,1,22,1,62
Croissant,Bakery,4,67.09,246,198,10,10,Saturday,7,0,17,1,58
Butter,Dairy,13,102.05,284,191,1,20,Sunday,3,0,24,1,94
Milk,Dairy,4,46.63,122,107,0,5,Monday,8,0,28,0,15
Onion,Vegetables,15,98.2,223,162,3,0,Tuesday,6,1,33,0,64
Orange,Fruits,7,41.07,152,23,1,0,Thursday,1,0,18,0,130
Cheese,Dairy,6,133.8,282,10,0,15,Tuesday,11,0,5,0,272
Onion,Vegetables,13,193.73,160,108,6,10,Thursday,5,0,34,1,58
Apple,Fruits,2,107.19,211,143,10,20,Friday,5,1,11,1,78
Muffin,Bakery,6,131.71,161,66,5,10,Tuesday,3,0,8,1,100
Potato,Vegetables,13,14.84,274,151,8,15,Thursday,7,0,17,1,131
Butter,Dairy,12,78.11,173,43,4,5,Wednesday,2,1,13,1,134
Yogurt,Dairy,12,26.97,201,57,5,10,Thursday,6,1,21,1,149
Apple,Fruits,9,20.2,56,30,1,20,Monday,11,1,38,1,27
Apple,Fruits,15,172.31,90,25,1,15,Friday,8,0,25,0,66
Cake,Bakery,7,129.9,110,40,0,0,Thursday,5,0,15,0,70
Apple,Fruits,4,126.75,239,103,6,15,Thursday,1,0,39,0,142
Tomato,Vegetables,7,153.8,291,97,0,0,Saturday,12,0,19,1,194
Potato,Vegetables,3,82.87,176,42,0,0,Wednesday,5,1,38,1,134
Banana,Fruits,7,199.27,270,183,6,5,Sunday,7,0,19,0,93
Cheese,Dairy,13,14.16,278,86,1,10,Saturday,11,0,29,1,193
Bread,Bakery,12,30.54,30,1,0,15,Thursday,7,0,40,1,29
Banana,Fruits,5,142.09,24,9,0,0,Saturday,9,1,13,1,15
Bread,Bakery,6,31.66,74,63,1,20,Tuesday,5,0,27,1,12
Potato,Vegetables,2,114.15,126,88,7,10,Tuesday,1,0,10,0,45
Banana,Fruits,3,158.11,58,46,0,10,Saturday,4,1,23,1,12
Apple,Fruits,3,164.5,40,18,1,10,Thursday,12,0,11,0,23
Croissant,Bakery,12,132.97,188,91,7,20,Wednesday,12,0,28,1,104
Milk,Dairy,8,86.05,253,69,6,15,Saturday,8,1,15,0,190
Milk,Dairy,15,40.29,233,233,18,15,Sunday,10,1,16,1,18
Tomato,Vegetables,15,140.05,86,61,3,0,Thursday,8,0,9,1,28
Tomato,Vegetables,13,174.98,288,114,10,10,Friday,9,0,32,0,184
Orange,Fruits,12,138.5,217,38,0,0,Saturday,3,1,36,0,179
Cake,Bakery,7,55.77,162,12,0,20,Saturday,7,1,20,0,150
Mango,Fruits,14,118.88,65,63,3,10,Monday,8,0,11,1,5
Apple,Fruits,10,114.33,66,38,1,15,Wednesday,6,0,19,1,29
Carrot,Vegetables,13,134.86,251,29,0,5,Monday,6,1,23,1,222
Bread,Bakery,4,103.56,229,27,1,20,Tuesday,4,0,30,0,203
Banana,Fruits,13,74.21,232,11,0,15,Thursday,11,0,36,0,221
Cake,Bakery,15,121.17,280,90,9,5,Saturday,3,0,29,1,199
Mango,Fruits,11,184.02,147,70,6,10,Wednesday,8,0,13,1,83
Onion,Vegetables,13,150.0,131,51,1,20,Saturday,5,1,13,0,81
Tomato,Vegetables,14,76.93,265,213,21,20,Wednesday,7,0,38,0,73
Cake,Bakery,4,20.08,48,12,1,5,Wednesday,11,1,14,0,37
Potato,Vegetables,14,112.82,203,115,1,20,Sunday,11,0,40,1,89
Yogurt,Dairy,13,136.25,215,99,6,10,Friday,1,0,21,0,122
Banana,Fruits,12,143.88,208,193,18,20,Saturday,10,0,17,1,33
Banana,Fruits,12,24.15,108,94,8,0,Thursday,1,1,22,1,22
Cheese,Dairy,11,170.74,22,10,1,5,Monday,3,1,8,1,13
Orange,Fruits,3,158.97,182,134,3,5,Friday,2,0,31,1,51
Muffin,Bakery,5,177.85,189,84,5,10,Tuesday,10,1,40,0,110
Muffin,Bakery,9,55.67,144,10,1,15,Sunday,2,1,21,1,135
Muffin,Bakery,10,162.54,248,124,0,10,Saturday,4,1,37,0,124
Croissant,Bakery,14,112.22,23,20,0,5,Saturday,11,0,32,0,3
Butter,Dairy,12,165.18,56,47,1,0,Thursday,12,1,7,0,10
Bread,Bakery,4,160.9,56,36,1,10,Thursday,7,1,30,1,21
Tomato,Vegetables,8,137.93,293,3,0,20,Monday,12,0,27,0,290
Onion,Vegetables,11,26.44,244,97,6,0,Thursday,3,0,13,1,153
Potato,Vegetables,6,138.68,211,2,0,0,Monday,1,1,39,0,209
Potato,Vegetables,13,150.87,196,54,3,20,Tuesday,3,0,19,1,145
Milk,Dairy,4,137.49,47,35,3,20,Monday,5,0,21,0,15
Butter,Dairy,7,77.86,140,25,1,20,Monday,4,1,36,1,116
Onion,Vegetables,13,120.99,206,206,10,15,Tuesday,1,1,20,0,10
Orange,Fruits,15,78.3,189,122,7,15,Wednesday,5,1,40,0,74
Milk,Dairy,15,63.32,91,68,1,10,Saturday,11,0,9,0,24
Cake,Bakery,14,122.11,38,35,2,20,Friday,8,0,28,1,5
Yogurt,Dairy,4,98.29,281,46,3,10,Friday,1,0,15,0,238
Banana,Fruits,4,117.61,94,94,7,10,Monday,4,1,19,0,7
Onion,Vegetables,5,18.13,125,66,6,10,Thursday,8,1,7,0,65
Tomato,Vegetables,13,194.0,160,67,4,20,Friday,3,1,29,1,97
Muffin,Bakery,8,194.81,134,132,6,10,Sunday,6,1,35,0,8
Butter,Dairy,4,53.7,283,143,3,5,Tuesday,3,1,12,0,143
Orange,Fruits,13,31.53,265,245,6,20,Tuesday,11,1,6,0,26
